English,Japanese
{ $count } notes exported.,{ $count }個のノートを書き出しました。
{ $count } notes imported.,{ $count }個のノートをインポートしました。
{ $count } notes unchanged,{ $count }個のノートを変更しませんでした
{ $count } notes updated,{ $count }個のノートを更新しました。
{ $count } notes updated.,{ $count }個のノートを更新しました。
"{ $count } notes were not imported, because their note type has changed.",{ $count }個のノートはインポートしませんでした。（ノートタイプが変更されたため）
"{ $count } notes were not imported, because their notetype has changed, and '{ importing-merge-notetypes }' was not enabled.",{ $count }個のノートはインポートしませんでした。（ノートタイプが変更されており、かつ、「{ importing-merge-notetypes }」のオプションがオフになっているため）
{ $count } notes were used to update existing ones.,{ $count }個のノートは、既存のノートを更新するために使用しました。
{ $count } reviews/day,{ $count }枚 / 日
{ $count } selected,{ $count }枚を選択
{ $days } days,{ $days } 日間
{ $days } days ago,{ $days }日前
{ $daysStart }-{ $daysEnd } days ago,{ $daysStart }-{ $daysEnd }日前
{ $empty_count } of { $existing_count } cards empty ({ $template_names }).,{ $existing_count }枚中{ $empty_count }枚のカードが白紙（{ $template_names }）
{ $hours } hours,{ $hours } 時間
{ $minutes } minutes,{ $minutes } 分間
{ $months } months,{ $months } か月
{ $notes } notes found in file. Of those:,{ $notes }個のノートがファイル内で見つかりました。処理の内訳は下記の通りです。
{ $notetype }: { $card_type } ({ $side }),{ $notetype }: { $card_type } ({ $side })
{ $num }: { $name },{ $num }: { $name }
{ $num }% complete.,{ $num }% 完了
'{ $option }' not set,'{ $option }'  が設定されていません
{ $pct }% of { $reviews } reviews,復習履歴{ $reviews }件の{ $pct }%を読み込みました...
📈 { $percent }% correct ({ $reviews }),📈 正答率 { $percent }% ({ $reviews }回)
{ $reviews } reviews,{ $reviews } 枚の復習カード
{ $reviews } reviews,{ $reviews }枚
📊 { $reviews } reviews,📊 { $reviews }回
"'{ $row }' had { $found } fields, expected { $expected }",「{ $row }」には { $found } 個のフィールドがありました。予想では { $expected } 個でした。
{ $seconds }s,{ $seconds }秒
{ $seconds } seconds,{ $seconds } 秒
`{ $term }` was given an invalid argument '`{ $argument }`'.,`{ $term }` に無効な引数 '`{ $argument }`'が使用されています。
{ $val } copy,{ $val } コピー
{ $years } years,{ $years } 年
(0 = return card to original deck),(0 = カードを元のデッキに戻す)
"0 = today
1! = tomorrow + change interval to 1
3-7 = random choice of 3-7 days","入力例）
　0    = 今日
　1!   = 明日。かつ、復習間隔を1日に変更
　3-7 = 3日後～7日後からランダムに選択"
A 100 day interval will become { $days } days.,【参考】 たとえば、デフォルトの目標正答率だと復習間隔が100日になる場合、この目標正答率だと、その復習間隔は{ $days }日になります。
Abort,中断
Aborted: { $val },中断: { $val }
"a closing bracket `)` was found, but there was no opening bracket `(` preceding it. If you want to search for a literal `)`, wrap it in double quotes or prepend a backslash: `"")""` or `\)`.","検索で`)`が使用されていますが、それに先立つ`(`がみつかりません。`)`の記号自体を検索したい場合は、二重引用符で囲むか手前にバックスラッシュをつけてください：`"")""` または `\)`"
"a colon `:` was found, but there was no keyword preceding it. If you want to search for a literal `:`, prepend a backslash: `\:`.",検索でコロン`:`が使用されていますが、その手前にキーワードがありません。`:`の記号自体を検索したい場合は、手前にバックスラッシュをつけてください：`\:`
Add,追加
Add: { $val },追加: { $val }
Add Card Type...,カードタイプを追加...
Add Deck,デッキの追加
Added,追加
Added,追加済
Added,追加しました
Added,カード作成日
Added,今日追加した
Added: { $up }↑ { $down }↓,追加：{ $up }↑ { $down }↓
Added duplicate with first field: { $val },最初のフィールドが重複したノートを追加しました: { $val }
Added/modified: { $up }↑ { $down }↓,追加/変更： { $up }↑ { $down }↓
Add Field,フィールドを追加
Add Media,メディアを追加
Add Mobile Class,モバイル (mobile) クラスの指定を追加してプレビュー
Add New Deck (Ctrl+N),デッキを新規追加 (Ctrl+N)
Add Note,ノートの追加
Add Notes...,ノートを追加...
Add Notetype,ノートタイプの追加
Add Note Type,ノートタイプを追加
Add-on,アドオン
Add Preset,プリセットを新規作成
Add Reverse,任意の入力で反転カード追加
Add (shortcut: ctrl+enter),追加（ショートカット: ctrl+enter）
Add tag,タグを追加
Add Tags,タグを追加
Add Tags...,タグを追加...
Add to Selected Notes,選択中のノートに追加
Advanced,高度なオプション
Affects the entire collection.,この設定はコレクション全体に一括で適用されます。
"Affects the entire collection, and is not saved.

This option controls whether the due dates of cards will be changed when you enable FSRS, or optimize
the parameters. The default is not to reschedule cards: future reviews will use the new scheduling, but
there will be no immediate change to your workload. If rescheduling is enabled, the due dates of cards
will be changed.","このオプションは、FSRSの使用を開始するとき、またはFSRSパラメータ値を最適化した後に、各カードの、すでに予定済みの期日を変更するかどうかを設定します。

このオプションがオフ（デフォルト）の場合、各カードの、すでに予定済みの期日を変更（再スケジュール）しません。今後の復習では新しいスケジュールを使用しますが、予定済みの期日は維持されるため、学習負荷が急に変化することはありません。

このオプションがオンの場合、各カードの、すでに予定済みの期日を変更（再スケジュール）します。

このオプションの設定はすべてのプリセットで共有され、一括で適用された後、オフ（デフォルト）になります。"
"Affects the entire collection.

The Free Spaced Repetition Scheduler (FSRS) is an alternative to Anki's legacy SuperMemo 2 (SM2) scheduler.
By more accurately determining when you are likely to forget, it can help you remember
more material in the same amount of time. This setting is shared by all deck presets.

If you previously used the 'custom scheduling' version of FSRS, please make
sure you clear out the custom scheduling section before enabling this option.","FSRS（Free Spaced Repetition Scheduler、フリーの間隔反復スケジューラー）は、Anki の従来のスケジューラーである SM2（SuperMemo 2 ）スケジューラーの代わりに使用できるスケジューラーです。 FSRS は、あなたが学習内容を忘れてしまいそうなタイミングをより正確に予測し、従来より効率よく学習内容を覚えていられるような学習スケジュールを組み立ててくれる可能性があります。

このオプションのオン・オフの設定は、すべてのデッキのプリセットで共有されます。

「カスタムスケジューリング」オプションを事前に使用していた場合は、このFSRSオプションをオンにする前に、必ずカスタムスケジューリングの入力欄の内容を消去してください。"
Affects the entire collection. Use at your own risk!,この設定はコレクション全体に一括で適用されます。ご自身の責任でご使用ください！
Again,今日間違えた（「もう一度」と回答した）
Again,もう一度
Again count:,間違えた回数:
"a group `(...)` was found, but there was nothing between the brackets to search for. If you want to search for literal brackets, wrap them in double quotes: `""( )""`.","検索で`(...)`が使用されていますが、カッコ内に検索するものがありません。カッコ自体を検索したい場合は、二重引用符で囲んでください：`""( )""`"
Align Bottom,下揃え
Align Horizontal Centers,左右方向の中央揃え
Align left,左寄り
Align Left,左揃え
Alignment,配置
Alignment,選択対象を整列
Align right,右寄り
Align Right,右揃え
Align Top,上揃え
Align Vertical Centers,上下方向の中央揃え
All Buried Cards,今日は非表示にしたすべてのカード
All cards in random order (don't reschedule),すべてのカードを無作為に並べる（スケジュール変更なし）
All Card Types,全てのカードタイプ
All Decks,すべてのデッキ
All Fields,すべてのフィールド
all history,全期間
All LaTeX rendered.,すべてのLaTeXをレンダリングしました。
All LaTeX rendered.,すべてのLaTeXをレンダリングしました。
Allow HTML in fields,フィールド内でHTMLを使う
All review cards in random order,すべての復習カードを無作為に並べる
All selected,選択条件すべてを含む
All supported formats { $val },サポートされているファイル形式 { $val }
Also import any learning progress,学習履歴もインポート
Always,常に
Always,常に行う
Always include question side when replaying audio,音声を再生する際、質問側の音声も必ず含める
"A maximum of 100 tags can be selected. Listing the
tags you want instead of the ones you don't want is usually simpler, and there
is no need to select child tags if you have selected a parent tag.","一度に選択できるタグは最大100個です。すべてを選択して
から必要のないタグを除去していくよりも、必要なタグを選択する方が通常シンプルです。
また、親タグが選択されている場合、あらためて子タグを選択する必要はありません。"
Analyze,分析
"an `and` was found but it is not connecting two search terms. If you want to search for the word itself, wrap it in double quotes: `""and""`.","検索で`and`が使用されていますが、２つの検索条件を接続していません。その文字列自体を検索したい場合は、二重引用符で囲んでください：`""and""`"
An error occurred when generating an image occlusion note,画像穴埋め問題タイプのノートを作成中にエラーが発生しました
An error occurred while fetching an image occlusion note,画像穴埋め問題タイプのノートを取得中にエラーが発生しました
An error occurred while opening { $val },{ $val } を開いた時にエラーが発生しました。
A network error occurred.,ネットワークのエラーが発生しました。
A network error occurred.,ネットワークのエラーが発生しました。
"An extra multiplier that is applied to a review card's interval when you rate
it `Easy`.",復習カードに「簡単」と回答した場合に、そのカードの復習間隔に追加して適用される乗数。
Anki 2.0 Deck,Anki 2.0 デッキ
Anki 2.1.41+ handling,Markdown記法を有効にする (Anki 2.1.41+ で対応可)
"Anki 2.1 comes with a new scheduler, which fixes a number of issues that previous Anki versions had. Updating to it is recommended.",Anki 2.1 では新しいスケジューラーが使用されています。古いバージョンで発生した問題の多くが解決されているため、アップデートすることをおすすめします。
Anki 2.1 scheduler (beta),Anki 2.1 スケジューラー（ベータ版）
.anki2 files are not directly importable - please import the .apkg or .zip file you have received instead.,.anki2ファイルを直接インポートすることはできません。代わりに受信した.apkgまたは.zipファイルをインポートしてください。
"Anki can not detect used files when you use { ""{{Field}}"" } references in media/LaTeX tags. The media/LaTeX tags should be placed on individual notes instead.

Referencing templates:","メディアやLaTeXを指定するHTMLタグ内でフィールドを参照している場合
（例えば  { ""{{Front}}"" }.jpg  という表現で各カードに表示するファイルを指定している場合）、
指定している個々のファイル（例えば、apple.jpg ）は、この「メディアをチェック」機能では検出できません。
メディアやLaTeXのタグは、個々のノートに記載することをおすすめします。
▼ フィールドを参照しているタグが記載されているテンプレート"
Anki can schedule your reviews more efficiently when you keep each question short.,回答時間を短く保つほうが、効率的な学習スケジュール作成に役立ちます。
Anki Collection Package,Anki コレクションパッケージ
"Anki could not create its data folder. Please see the File Locations section of the manual, and ensure that location is not read-only.",データフォルダを作成することができませんでした。マニュアルの「ファイルの場所」の項目に目を通し、その場所が読み取り専用になっていないか確認してください。
Anki could not read your profile data. Window sizes and your sync login details have been forgotten.,プロファイルデータを読み込むことができません。ウィンドウサイズと同期のためのログイン詳細が除去されています。
"Anki could not rename your profile because it could not rename the profile folder on disk. Please ensure you have permission to write to Documents/Anki and no other programs are accessing your profile folders, then try again.",プロファイルの名前を変更できませんでした。ディスク上のプロファイルフォルダの名前が変更できないためです。Documents/Anki フォルダへの書き込み権限を設定していて、他のプログラムからプロファイルフォルダへアクセスしていないことを確認してから、もう一度実行してください。
Anki couldn't find the line between the question and answer. Please adjust the template manually to switch the question and answer.,質問と解答とを区切る境界線が見つかりません。質問と解答を入れ替えるには、まずテンプレートを修正してください。
Anki Deck Package,Anki デッキパッケージ
".anki files are from a very old version of Anki. You can import them with Anki 2.0, available on the Anki website.",.ankiファイルはAnkiのとても古いバージョンのものです。それらのファイルは、Ankiのウェブサイトより入手可能なAnki 2.0を使用してインポートすることができます。
"Anki is currently syncing. Please wait for the sync to complete, then try again.",同期中です。同期が完了するのを待って、再度お試しください。
"Anki periodically backs up your collection. After backups are more than 2 days old,
Anki will start removing some of them to free up disk space.",Anki は一定時間（分）ごとにコレクションのバックアップを作成しています。各期間（日／週／月）の代表として保管するバックアップ以外のバックアップは、ディスク領域を空けるために、作成から2日以上経過した後に削除していきます。
"Anki's prefs21.db file was corrupt and has been recreated. If you were using multiple profiles, please add them back using the same names to recover your cards.",Ankiのprefs21.dbファイルが破損していたため再作成しました。複数のプロファイルをお持ちだった場合は、同じ名前を使用してそれらを再び追加しカードを復旧してください。
AnkiWeb Account,AnkiWebアカウント
AnkiWeb collection has no cards. Replace it with local collection?,AnkiWeb上のコレクションにカードがありません。AnkiWeb上のコレクションを、この端末のコレクションに置き換えますか？（この端末のコレクションをAnkiWeb上にアップロードし、現在のAnkiWeb上のコレクションを上書きします。）
AnkiWeb encountered a problem. Please try again in a few minutes.,AnkiWebに問題が発生しました。しばらくしてからもう一度お試しください。
AnkiWeb ID:,AnkiWeb ID:
AnkiWeb ID or password was incorrect; please try again.,AnkiWeb の ID 又は パスワード が間違っています。もう一度入力してください。
AnkiWeb ID or password was incorrect; please try again.,AnkiWebのID（登録済みメールアドレス）またはパスワードが間違っています。入力し直してください。
"Anki will use the display order from the deck you 
select to study, and not any subdecks it may have.",表示順序の設定は、学習を開始する時に選択したデッキのオプションでの設定が用いられます。つまり、選択したデッキのサブデッキのカードを表示する際にも、そのサブデッキのオプションではなく、選択したデッキのオプションでの設定が適用されます。
"an opening bracket `(` was found, but there was no closing bracket `)` following it. If you want to search for a literal `(`, wrap it in double quotes or prepend a backslash: `""(""` or `\(` .","検索で`(`が使用されていますが、それに続く`)`がみつかりません。`(`の記号自体を検索したい場合は、二重引用符で囲むか手前にバックスラッシュをつけてください：`""(""` または `\(`"
"an opening double quote `""` was found, but there was no second one to close it. If you want to search for a literal `""`, prepend a backslash: `\""`.","　検索で二重引用符`""`が使用されていますが、それを閉じるもう片方がみつかりません。`""`の記号自体を検索したい場合は、手前にバックスラッシュをつけてください：`\""`"
"an `or` was found but it is not connecting two search terms. If you want to search for the word itself, wrap it in double quotes: `""or""`.","検索で`or`が使用されていますが、２つの検索用語を接続していません。その文字列自体を検索したい場合は、二重引用符で囲んでください：`""or""`"
Answer,解答
Answer action,解答表示時間経過後の自動アクション
Answer Again,回答 (もう一度)
Answer Buttons,回答ボタン
Answer Card,カードへの回答
Answer Good,回答 (正解)
Answer Hard,回答 (難しい)
Answer keys,回答キー
Answer time elapsed,回答する時間になりました
A number was invalid or out of range.,入力された数が無効か範囲外です。
"Any cards mapped to nothing will be deleted. If a note has no remaining cards, it will be lost. Are you sure you want to continue?",Nothing に設定したカードは削除されます。ノートにカードが残っていない場合は、そのノートが失われます。それでも処理を続行しますか。
Any Flag,フラグあり
Any selected,選択条件のいずれかを含む
"a pair of double quotes `""""` was found, but there was nothing between them to search for. If you want to search for literal double quotes, prepend backslashes: `\""\""`.","検索で二重引用符`""""`が使用されていますが、引用符内に検索するものがありません。二重引用符の記号自体を検索したい場合は、手前にバックスラッシュをつけてください：`\""\""`"
"A parent deck has a limit of { $cards } cards, which will override this limit.",親デッキの上限が{ $cards }枚に設定されているため、そこでの上限がここにも適用されます。
Appearance,表示
Appeared twice in file: { $val },{ $val } は二回ファイルに出てきました
"A problem occurred while syncing media. Please use the Check Media function, then synchronize again to correct the issue.",メディアの同期中に問題が発生しました。この問題を修正するには、[データベースをチェック] を実行してから、再度同期してください。
Are you sure you want to reset this image occlusion?,画像を選択する前の初期状態（画像選択用の画面）にリセットします。現在の画像上に追加したマスクや文字だけでなく、その画像自体を表示しなくなります。本当によろしいですか？
Are you sure you wish to delete { $val }?,本当に { $val } を削除しますか？
Are you sure you wish to display Anki's interface in { $lang }?,Ankiのインターフェイスを{ $lang }で表示します。本当によろしいですか？
A saved search with the name { $name } already exists. Do you want to overwrite it?,「{ $name }」という名前の検索保存はすでに存在します。上書きしますか？
Ascending difficulty,難度が低い順
Ascending ease,易しさが低い順
Ascending intervals,復習間隔が短い順
Ascending position,位置（昇順）
Ascending position,位置（新規カード番号）の昇順
At least one card type is required.,最低一つのカードタイプが必要です。
At least one step is required.,最低でも一つのステップが必要です。
Attach pictures/audio/video,メディア(画像/音声/動画)を追加
Attach pictures/audio/video (F3),メディア(画像/音声/動画)を追加 (F3)
Audio,音声
Audio +5s,音声を5秒進める
Audio -5s,音声を5秒戻す
Auto Advance,カードの自動送り
Auto Advance disabled,カードの自動送りを停止しました
Auto Advance enabled,カードの自動送りを開始しました
Auto-close HTML tags,HTMLの終了タグを自動で付ける
Automatically play audio,音声を自動再生する
Automatically sync on profile open/close,プロファイルを開閉する際に自動的に同期する
Available new cards: { $count },現在出題可能な新規カード: { $count } 枚
Available new cards: { $countString },上乗せ可能な新規カード: { $countString }枚
Available review cards: { $count },現在出題可能な復習カード: { $count } 枚
Available review cards: { $countString },上乗せ可能な復習カード: { $countString }枚
Average,平均
Average answer time,平均回答時間
Average difficulty,難度の平均
Average ease,易しさの平均値
Average for days studied,学習した日での平均
Average interval,復習間隔の平均
Average over period,期間全体での平均
Average retrievability,正答可能性の平均
Average stability,安定度の平均
Average Time,平均時間
Avg. Ease,易しさの平均
Avg. Interval,復習間隔の平均
Back,裏面
Back Extra,裏面追記
Backlog,延滞込み
Back Preview,裏面のプレビュー
Back Template,裏面のテンプレート
Back template has a problem:,裏面のテンプレートに問題があります：
Back template has a problem:,裏面のテンプレートに不備があります：
Backup created.,バックアップを作成しました。
Backup creation failed: { $reason },バックアップの作成に失敗しました: { $reason }
backups,バックアップ
Backups,バックアップ
Basic,基本
Basic,基本
Basic (and reversed card),基本 (裏表反転カード付き)
Basic (optional reversed card),基本 (裏表反転カード追加可能)
Basic (type in the answer),基本 (文字入力解答)
<b>Export format</b>:,<b>ファイルの形式</b>:
<b>Find</b>:,<b>検索文字列</b>：
<b>Font</b>:,<b>フォント</b>：
<b>Font Size</b>:,<b>フォントサイズ</b>：
<b>In</b>:,<b>対象</b>:
<b>Include</b>:,<b>対象</b>:
blank,空白
<b>Line Size</b>:,<b>行のサイズ</b>:
Blue,ブルー
Blue Flag,青フラグ
Bold text,太字
Bold text (Ctrl+B),太字 (Ctrl+B)
<b>Replace With</b>:,<b>置換文字列</b>：
Browse ({ $selected } of { $total } cards selected),ブラウザ（{ $total }枚のカード中{ $selected }枚を選択中）
Browse ({ $selected } of { $total } notes selected),ブラウザ（{ $total }個のノート中{ $selected }個を選択中）
Browser Appearance,ブラウザのテーブルでの表示設定
Browser Appearance...,ブラウザのテーブルでの表示設定...
Browser Options,ブラウザ オプション
Browser-specific back template has a problem:,ブラウザのテーブル用の解答テンプレートに不備があります:
Browser-specific front template has a problem:,ブラウザのテーブル用の質問テンプレートに不備があります:
Browsing,検索
<b>Synchronisation</b>,<b>同期</b>
<b>Synchronization</b><br> Not currently enabled; click the sync button in the main window to enable.,<b>同期</b><br> 現在有効になっていません。有効にするにはメインウィンドウの同期ボタンを押してください。
Build,作成
Build Deck,デッキを構築
Buried,今日は非表示
Buried,今日は非表示
Buried Siblings,今日は非表示にした兄弟関係のカード
Bury,今日は非表示
Bury Card,カードを今日は非表示
Bury if new,Bury if new
Bury if new or review,Bury if new or review
"Bury if new, review, or interday learning","Bury if new, review, or interday learning"
Burying,兄弟関係のカードの非表示
Bury interday learning siblings,兄弟関係の習得中カードで、ステップが日をまたいでいる場合は、同じ日に表示しない
Bury new siblings,兄弟関係の新規カードを同じ日に表示しない
Bury Note,ノートを今日は非表示
Bury related new cards until the next day,関連する新規カードを今日は非表示にする
Bury related reviews until the next day,関連する復習カードを今日は非表示にする
Bury review siblings,兄弟関係の復習カードを同じ日に表示しない
Bury siblings,Bury siblings
Button,ボタン
"By default, Anki will detect the character between fields, such as a tab, comma, and so on. If Anki is detecting the character incorrectly, you can enter it here. Use \t to represent tab.","既定では、Ankiはフィールドを区切るタブやカンマなどの文字を識別します。
もしフィールドを区切る文字をAnkiがうまく識別できない場合は、ここにその区切り文字を入力してください。
タブ区切りを使用する場合は \t と入力してください。"
"By default, limits start from the deck you select. If this option is enabled, the limits will
start from the top-level deck instead, which can be useful if you wish to study individual
sub-decks, while enforcing a total limit on cards/day.","このオプションがオフ（デフォルト）の場合、各枚数の上限には、学習を開始する際に選択したデッキの設定が適用され、その範囲内で、そのサブデッキの設定が適用されます。その下にさらにサブデッキがある場合も同様です。

このオプションがオンの場合、各枚数の上限には、最上位のデッキ（メインデッキ）の設定が適用され、その範囲内で、そのサブデッキの設定が適用されます。その下にさらにサブデッキがある場合も同様です。「メインデッキではない個々のデッキを選択して学習していきたいが、メインデッキ全体についての枚数上限を超えないようにしたい」という場合に適した方法です。"
"By default, the review limit also applies to new cards, and no new cards will be
shown when the review limit has been reached. If this option is enabled, new cards
will be shown regardless of the review limit.","このオプションがオフ（デフォルト）の場合、復習枚数の上限は、新規カード導入枚数も制限します。例えば、復習期日を迎えたカードの枚数が、復習枚数の上限に達していたり、さらに多い場合、その日に新規カードは導入されません。

このオプションがオンの場合、新規カード導入枚数は、復習枚数の上限によって制限されないようになります。つまり、期日を迎えたカードの枚数が、復習枚数の上限に達していたり、さらに多い場合でも、それはそれとして、新規カードが導入されます。"
C,C
Calendar,カレンダー
Cancel,キャンセル
Cancel,キャンセル
Card,カード
Card { $val },カード { $val }
Card 1,カード 1
Card 2,カード 2
Card buried.,カードを延期しました。
Card Counts,カード枚数
Card Difficulty,カードの難度
Card Ease,カードの易しさ
Card ID,カード ID
Card Info,カード情報
Card List,テーブル（リスト）
Card Modified,カード更新日時
Card Retrievability,カードの正答可能性
cards,枚
Cards,カード
Cards,カード
Cards...,カード...
Cards can't be manually moved into a filtered deck.,フィルターデッキには手動でカードを移動できません。
cards from the deck,選択中のデッキから取得
Cards in Plain Text,テキストファイル形式のカード
cards selected by,枚を、次の順に抜き出す:
Card Stability,カードの安定度
Card State,カードの状態
Card State,カードの状態
Card suspended.,カードを休止しました
Cards will be automatically returned to their original decks after you review them.,カードは復習が済んだら元のデッキに自動的に戻ります。
Card template { $number } in notetype '{ $notetype }' has a problem.,カードタイプ{ $number }のテンプレートに不備があります。
"Card template, then ascending position",カードテンプレ後、位置（昇順）
"Card template, then descending position",カードテンプレ後、位置（降順）
Card type,カードタイプ順
Card Type,カードタイプ
Card Type:,カードタイプ:
"`Card type`: Displays cards in order of card type number. If you have sibling burying
disabled, this will ensure all front→back cards are seen before any back→front cards.
This is useful to have all cards of the same note shown in the same session, but not
too close to one another.

`Order gathered`: Shows cards exactly as they were gathered. If sibling burying is disabled,
this will typically result in all cards of a note being seen one after the other.

`Card type, then random`: Like `Card type`, but shuffles the cards of each card
type number. If you use `Ascending position` to gather the oldest cards, you could use
this setting to see those cards in a random order, but still ensure cards of the same
note do not end up too close to one another.

`Random note, then card type`: Picks notes at random, then shows all of their siblings
in order.

`Random`: Fully shuffles the gathered cards.","`カードタイプ順`: 「カード 1」「カード 2」といったカードタイプごとにグループ分けをし、カードタイプの数字順に、グループごとにカードを表示していきます。同じカードタイプどうしのカードは、集めたときの順序で表示されます。「兄弟関係のカードの非表示」カテゴリの各オプションを無効にしている場合は、例えば、カードタイプが「カード 1」である《表面→裏面》カードをすべて表示してから、カードタイプが「カード 2」である《裏面→表面》カードを表示していきます。兄弟関係のカード（＝同じノートから作られたカード）どうしを同じセッションで表示したいが、近づけすぎないようにもしたい、という場合に適した設定です。

`集めたときの順序`: カードを集めたときのままの順序で表示します。「兄弟関係のカードの非表示」カテゴリの各オプションを無効にしている場合、通常、兄弟関係のカードどうしは連続して表示されます。

`カードタイプ順→ランダム`: 「カードタイプ順」と同じくカードタイプの数字順にグループ分けをしますが、各カードタイプのグループ内のカードをランダムな並びで表示します。カードを集めるときに「位置（新規カード番号）の昇順」で古いカードを優先的に集めた上で、この設定にすることによって、それらのカードをランダムな並びで表示し、兄弟関係のカードどうしを近づけすぎずに表示することができます。

`ランダム（ノート単位）→カードタイプ順`: ノートをランダムに並べ、ノートがカードを複数持つ場合（つまり、兄弟関係のカードがある場合）はそれらのカードをカードタイプ順に表示します。

`ランダム（カード単位）`: 集めたカードを完全にランダムな並びで表示します。"
Card Types,カードの種類
Card Types for { $val },「{ $val }」が使用するカードタイプ
"Card type, then random",カードタイプ順→ランダム
Card was a leech.,回答したカードは「leech」（苦戦、忘却多発）のカードです。
Center,中央
Change,変更
Change { $val } to:,{ $val } を以下に変更:
Change color,色を変更
Change colour (F8),色を変更 (F8)
Change Deck,デッキの変更
Change Deck...,デッキを変更...
Change deck depending on note type,カード追加の時、ノートタイプによってデッキを選択
Changed position of { $count } new cards.,新規カードの位置を{ $count }枚変更しました。
Change Notetype,ノートタイプを変更
Change Note Type,ノートタイプを変更
Change Note Type...,ノートタイプを変更...
Changes below will affect the { $count } notes that use this card type.,ここでの内容の変更は、このカードタイプを使用している{ $count }個のノートに影響を与えます。
Changes saved.,変更を保存しました。
Changes will take effect when you restart Anki.,Ankiを再起動させると変更内容が反映されます。
Check Database,データベースをチェック
Checked { $count }...,確認済み{ $count }...
Checked { $count }...,チェック済み: { $count }...
Checked: { $count },チェック済：{ $count }
